"1","Bathroom Hardware","HDBH","HD"
"2","Tools","HDTL","HD"
"3","Cleaning Supplies","HDCS","HD"
"4","Building Material","HDBM","HD"
"5","Paints & Wall","HDPW","HD"
"6","Safety","HDSS","HD"
"7","Rice,Pulses,Flour & Grains","KRRG","KR"
"8","Sugar & Salt","KRSS","KR"
"9","Oils","KROL","KR"
"10","Masala & Spices","KRMS","KR"
"11","Personal Care","KRPC","KR"
"12","Pasta Noodles","KRPN","KR"
"13","Beverages","KRBR","KR"
"14","Snacks","KRSK","KR"
"15","Cereals","KRCA","KR"
"16","Detergents & Soaps","KRDS","KR"
"17","Pooja Item","KRPI","KR"
"18","Cleanery","KRCN","KR"
"19","Dry Fruits","KRDF","KR"
"20","Sweets & Pickle","KRSP","KR"
"21","Milk","DYMK","DY"
"22","Curd, Matha, Ghee","DYCG","DY"
"23","Shree Khand, Rabdi & Lassi","DYSK","DY"
"24","Ice Cream","DYIC","DY"
"25","Paneer, Cheeze & Butter","DYBC","DY"
"26","Cakes, Cookies & Pasteries","BKCC","BK"
"27","Bread & Buns","BKBB","BK"
"28","Art & Crafts","STAC","ST"
"29","Writing Material","STWM","ST"
"30","Books","STBK","ST"
"31","Cases,Folders,Files,Boards","STCF","ST"
"32","Electronics Appliances","ECEA","EC"
"33","LEDs & Bulbs","ECLB","EC"
"34","Fitting Pipes","ECFP","EC"
"35","Wire & Switches","ECWS","EC"
"36","Underwear Man","CLUM","CL"
"37","Innerwear Man","CLIM","CL"
"38","Underwear Woman","CLUF","CL"
"39","Innerwear Woman","CLIF","CL"
"40","Shirts & Tshirts","CLTS","CL"
"41","Blazzer's & Suits","CLBS","CL"
"42","Skirt's","CLSK","CL"
"43","Top's","CLTP","CL"
"44","Tight & Leggy","CLTL","CL"
"45","Trousers","CLTR","CL"
"46","Winter Wear","CLWW","CL"
"47","Lingerie","CLLG","CL"
"48","Nighty","CLNT","CL"
"49","Ethnic Wear","CLEW","CL"
"50","Shoes & Sandals","FWSS","FW"
"51","Socks","FWSK","FW"
"52","Sleepers","FWSE","FW"
"53","Lofers","FWLE","FW"
"54","Containers","UTCT","UT"
"55","Spoons & Knifes","UTSK","UT"
"56","Plates & Bulbs","UTPB","UT"
"57","Cooking Utensils","UTCU","UT"
"58","Stoves","UTSV","UT"
"59","Pooja Utensils","UTPU","UT"
"60","Crockery","UTCC","UT"
"61","Dinner Set","UTDS","UT"
"62","Makeup","BPME","BP"
"63","Skin","BPSN","BP"
"64","Hair","BPHR","BP"
"65","Personal Care","BPPC","BP"
"66","Natural","BPNU","BP"
"67","Baby Products","BPBP","BP"
"68","Fragrance","BPFG","BP"
"69","Digital Watches","WTDW","WT"
"70","Smart Watches","WTSW","WT"
"71","Analog Watches","WTAW","WT"
"72","Baby Sanitation","BBSN","BB"
"73","Baby Food","BBBF","BB"
"74","Toys","BBTY","BB"
"75","Baby Cloth & Footwear","BBBC","BB"
"76","Baby Furniture","BBBF","BB"
"77","School Bag","BGSB","BG"
"78","Luggage bags","BGLB","BG"
"79","Ladies Bag","BGLD","BG"
"80","Men's purse","BGMP","BG"
